,track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,mood
0,7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,Marvin Gaye,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667,4,happy
1,1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,125093,4,happy
2,745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,spotify:track:745H5CctFr12Mo7cqa1BMH,165000,4,happy
3,3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,Otis Redding,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,spotify:track:3zBhihYUHBmGd2bcQIobrF,163756,4,happy
4,3SdTKo2uVsxFblQjpScoHy,Stand by Me,Ben E. King,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,spotify:track:3SdTKo2uVsxFblQjpScoHy,180056,4,happy
5,1JQ6Xm1JrvHfvAqhl5pwaA,Easy,Commodores,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA,256427,4,happy
6,2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,spotify:track:2eF8pWbiivYsYRpbntYsnc,161160,4,happy
7,0bRXwKfigvpKZUurwqAlEh,Lovely Day,Bill Withers,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,spotify:track:0bRXwKfigvpKZUurwqAlEh,254560,4,happy
8,63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,spotify:track:63xdwScd1Ai1GigAwQxE8y,199396,4,happy
9,3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,Aretha Franklin,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,spotify:track:3NfxSdJnVdon1axzloJgba,216773,4,happy
